title,price,star_rating,availability,category,url,price_gbp,rating,in_stock,price_inr
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,In stock (19 available),Food and Drink,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,3,True,3219.86
Chase Me (Paris Nights #2),£25.27,Five,In stock (19 available),Romance,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,25.27,5,True,2665.98
Black Dust,£34.53,Five,In stock (19 available),Romance,https://books.toscrape.com/catalogue/black-dust_976/index.html,34.53,5,True,3642.92
Birdsong: A Story in Pictures,£54.64,Three,In stock (19 available),Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,54.64,3,True,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,In stock (19 available),Default,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,3,True,2373.75
Aladdin and His Wonderful Lamp,£53.13,Three,In stock (19 available),Default,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,53.13,3,True,5605.22
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,In stock (18 available),Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,5,True,4251.65
Wall and Piece,£44.18,Four,In stock (18 available),Art,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,44.18,4,True,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,In stock (18 available),Spirituality,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,5,True,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,In stock (18 available),Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,3,True,3275.78
The Elephant Tree,£23.82,Five,In stock (18 available),Thriller,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,5,True,2513.01
The Bear and the Piano,£36.89,One,In stock (18 available),Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,1,True,3891.9
Sophie's World,£15.94,Five,In stock (18 available),Philosophy,https://books.toscrape.com/catalogue/sophies-world_966/index.html,15.94,5,True,1681.67
Penny Maybe,£33.29,Three,In stock (18 available),Default,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,33.29,3,True,3512.1
Maude (1883-1993):She Grew Up with the country,£18.02,Two,In stock (18 available),Default,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,2,True,1901.11
"In a Dark, Dark Wood",£19.63,One,In stock (18 available),Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19.63,1,True,2070.96
Behind Closed Doors,£52.22,Four,In stock (18 available),Thriller,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,52.22,4,True,5509.21
You can't bury them all: Poems,£33.63,Two,In stock (17 available),Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,33.63,2,True,3547.96
Slow States of Collapse: Poems,£57.31,Three,In stock (17 available),Poetry,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,57.31,3,True,6046.2
Reasons to Stay Alive,£26.41,Two,In stock (17 available),Nonfiction,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,26.41,2,True,2786.26
Private Paris (Private #10),£47.61,Five,In stock (17 available),Fiction,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,47.61,5,True,5022.85
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,In stock (17 available),Nonfiction,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,5,True,2438.1
Without Borders (Wanderlove #1),£45.07,Two,In stock (16 available),New Adult,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,45.07,2,True,4754.88
When We Collided,£31.77,One,In stock (16 available),Contemporary,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,31.77,1,True,3351.74
"We Love You, Charlie Freeman",£50.27,Five,In stock (16 available),Fiction,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,50.27,5,True,5303.48
Untitled Collection: Sabbath Poems 2014,£14.27,Four,In stock (16 available),Poetry,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,14.27,4,True,1505.48
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,44.18,4,True,4660.99
Unicorn Tracks,£18.78,Three,In stock (16 available),Fantasy,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,18.78,3,True,1981.29
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,In stock (16 available),History,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,25.52,1,True,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16.28,1,True,1717.54
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,31.12,3,True,3283.16
This One Summer,£19.49,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,19.49,4,True,2056.19
Thirst,£17.27,Five,In stock (16 available),Fiction,https://books.toscrape.com/catalogue/thirst_946/index.html,17.27,5,True,1821.98
The Torch Is Passed: A Harding Family Story,£19.09,One,In stock (16 available),Add a comment,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,19.09,1,True,2014.0
The Secret of Dreadwillow Carse,£56.13,One,In stock (16 available),Childrens,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,56.13,1,True,5921.72
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,In stock (16 available),Food and Drink,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,56.41,1,True,5951.25
The Past Never Ends,£56.50,Four,In stock (16 available),Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,56.5,4,True,5960.75
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,In stock (16 available),Young Adult,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,45.22,3,True,4770.71
The Nameless City (The Nameless City #1),£38.16,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,38.16,4,True,4025.88
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock (16 available),Fiction,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,54.11,3,True,5708.6
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,In stock (16 available),Science,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,42.96,4,True,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,In stock (16 available),Add a comment,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,23.89,4,True,2520.4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,16.77,3,True,1769.24
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,In stock (16 available),Default,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,20.59,5,True,2172.24
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,37.13,1,True,3917.22
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,56.06,1,True,5914.33
The Death of Humanity: and the Case for Life,£58.11,Four,In stock (16 available),Philosophy,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,58.11,4,True,6130.6
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,In stock (16 available),Health,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,49.05,3,True,5174.77
The Art Forger,£40.76,Three,In stock (16 available),Add a comment,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,40.76,3,True,4300.18
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,In stock (16 available),History,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,19.73,1,True,2081.52
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,In stock (16 available),Spirituality,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,32.24,5,True,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,41.83,4,True,4413.06
Soul Reader,£39.58,Two,In stock (16 available),Default,https://books.toscrape.com/catalogue/soul-reader_926/index.html,39.58,2,True,4175.69
Security,£39.25,Two,In stock (16 available),Horror,https://books.toscrape.com/catalogue/security_925/index.html,39.25,2,True,4140.88
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,In stock (16 available),Fantasy,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,25.02,3,True,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,51.04,2,True,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,19.83,2,True,2092.06
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,50.4,3,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,13.61,5,True,1435.86
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,In stock (16 available),Fantasy,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,13.34,5,True,1407.37
"Pop Gun War, Volume 1: Gift",£18.97,One,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,18.97,1,True,2001.33
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,In stock (16 available),History,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,36.28,2,True,3827.54
Patience,£10.16,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/patience_916/index.html,10.16,3,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,15.44,4,True,1628.92
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,48.41,1,True,5107.25
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,In stock (16 available),Self Help,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,46.35,1,True,4889.92
On a Midnight Clear,£14.07,Three,In stock (16 available),Add a comment,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,14.07,3,True,1484.38
Obsidian (Lux #1),£14.86,Two,In stock (16 available),Young Adult,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,14.86,2,True,1567.73
My Paris Kitchen: Recipes and Stories,£33.37,Two,In stock (16 available),Food and Drink,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,33.37,2,True,3520.54
Masks and Shadows,£56.40,Two,In stock (16 available),Fantasy,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,56.4,2,True,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,In stock (16 available),Food and Drink,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,14.02,4,True,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,46.91,2,True,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,45.61,3,True,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,19.92,2,True,2101.56
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,In stock (16 available),Food and Drink,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,40.11,1,True,4231.6
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,In stock (16 available),Add a comment,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,53.9,2,True,5686.45
Join,£35.67,Five,In stock (16 available),Science Fiction,https://books.toscrape.com/catalogue/join_902/index.html,35.67,5,True,3763.19
In the Country We Love: My Family Divided,£22.00,Four,In stock (16 available),Nonfiction,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,22.0,4,True,2321.0
